item_id,item_name,category,description,base_price
101,Enchiladas de Mole Poblano,Mole Poblano,"Soft corn tortillas with chicken, smothered in our imported artisanal mole poblano sauce, topped with lettuce, red onions, avocado, cotija cheese & sour cream. Served with rice & beans.",27.95
102,Chicken & Mole,Mole Poblano,"Two chicken pieces smothered in our imported artisanal mole poblano, served with rice, beans & 3 corn tortillas.",29.95
103,Mexican Avocado Toast,Mexican Breakfast,"Spread avocado crumble, crispy bacon & pico de gallo on multigrain toast.",15.50
104,Huevos Rancheros,Mexican Breakfast,"Two eggs, over soft corn tortillas, topped with sour cream, cotija cheese, homemade salsa verde or roja served with rice & beans.",18.50
105,Chorizo con Huevos,Mexican Breakfast,"3 scrambled eggs mix homemade chorizo, served with rice, homemade black beans and 3 soft corn tortillas.",19.50
106,Huevos a la Mexicana,Mexican Breakfast,"3 scrambled eggs mix with jalapeños, tomatoes, onions, served with rice, beans & 3 soft corn tortillas.",18.25
107,Salsa con Huevos,Mexican Breakfast,"3 scrambled eggs mixed with salsa verde, served with rice & beans served with 3 soft corn tortillas.",17.25
108,Chilaquiles,Mexican Breakfast,"3 scrambled eggs. Served with sautéed corn tortillas with salsa verde or roja, sour cream, cotija cheese & avocado.",19.50
109,5 Ave Omelete,Mexican Breakfast,"3 eggs omelete mixed with chorizo, avocado, cheddar, rice, beans & tortilla chips.",18.50
110,"Terrace Omelete (Breakfast)",Mexican Breakfast,"Guacamole, mozzarella, chopped bacon & sour cream. Served with tortilla chips & beans.",18.00
111,Mexican Breakfast Sandwich,Mexican Breakfast,"2 scrambled eggs black beans, mayonnaise, avocado, jalapeños, red onions on a homemade panini bread.",16.00
112,Elote Asado,Mexican Appetizers,"Grilled fresh corn in a cob smothered with mayonnaise, cotija, cheese & chili powder.",10.95
113,"Flautas (3)",Mexican Appetizers,"Three crispy tacos topped with lettuce, pico de gallo, cotija cheese & sour cream.",15.95
114,"Tostadas (3)",Mexican Appetizers,"Order of 3 pieces, fried corn tortilla, topped with homemade black beans, lettuce, tomatoes, onions, cotija cheese & sour cream.",20.95
115,La Sopa de Tortilla,Traditional Soups,"The most famous Mexican soup, prepared traditionally, served with sour cream, chile guajillo, queso freso & avocado.",14.95
116,Pozole Soup,Traditional Soups,"Prepared traditionally hominy corn in a zesty broth served with oregano and fresh lime, choice of chicken or pork.",15.95
117,Terrace Burrito,"Burritos, Tacos & Tortas","Flour tortilla filled with shredded chicken made in chipotle sauce with onions, guacamole, rice, sour cream & mexican salsa, homemade black beans & pico de gallo served with mixed greens salad, tomato, cucumbers & red onions.",18.95
118,Burrito,"Burritos, Tacos & Tortas","Flour tortilla filled with guacamole, rice, sour cream, homemade black beans, pico de gallo & cotija cheese served with mixed greens salad, tomato, cucumbers & red onions.",18.95
119,Burrito Bowl,"Burritos, Tacos & Tortas","Your choice of meat with guacamole, rice, sour cream, salsa verde & homemade black beans, 3 corn tortillas on side.",19.95
120,"Soft Tacos (3)","Burritos, Tacos & Tortas","3 soft tacos only by order (not combination). Top with guacamole, cilantro & onions.",16.95
121,"Tortas (Mexican Sandwich)","Burritos, Tacos & Tortas","Homemade black beans, avocado, mayonnaise, cheese, lettuce, tomatoes, red onion & jalapeño.",15.95
201,Classic Mexican Nachos,Nachos,"Warm corn tortilla chips topped with mixed cheese, homemade salsa verde, guacamole, sour cream, blackbeans, pico de gallo & cotija cheese.",17.95
202,Terrace Nachos,Nachos,"Warm corn tortilla chips topped with shredded chicken made in chipotle sauce with onions, black beans, mozzarella & cheddar cheese, topped with lettuce, tomatoes, cotija cheese, sour cream & pico de gallo.",20.45
203,Chorinachos,Nachos,"Warm corn tortilla chips topped with shredded mozzarella & cheddar cheese, black beans, homemade chorizo, lettuce, tomatoes, guacamole, sour cream, cotija cheese & pico de gallo.",20.45
204,Chili Nachos,Nachos,"Warm corn tortilla chips topped with mozzarella & cheddar cheese, homemade chili, jalapeños, sour cream, lettuce, tomatoes, guacamole, cotija cheese & pico de gallo.",19.00
205,Guacamole Dip,Nachos,"Served with warm corn tortilla chips, homemade salsa & sour cream.",14.75
206,Chips & Salsa Dip,Nachos,"Warm corn tortillas with salsa & sour cream.",8.25
207,Chorizo & Cheese Dip,Nachos,"Served with tortilla chips.",18.00
208,"Quesadillas (3)",Quesadillas,"Flour tortillas filled with melted mixed cheese, homemade black beans, guacamole, jalapeños & sour cream.",21.25
209,Speedy Cheese Quesadilla,Quesadillas,"Flour tortilla with cheese, served with guacamole & sour cream.",14.25
210,"Enchiladas (3)",Mexican Dinner,"Fresh made soft corn tortilla with shredded chicken topped with lettuce, red onion, cotija cheese & avocado, served with rice and homemade black beans.",25.95
211,"Enchiladas Suizas (3)",Mexican Dinner,"Fresh made soft corn tortilla with shredded chicken in a creamy green sauce, topped with lettuce, red onion, cotija cheese & avocado, served with rice and homemade black beans.",27.95
